trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
127,False,"{'a': 0.880733672597157, 'e': 0.2808316217783798}",20,10,7.610016866816506,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
128,False,"{'a': 0.8798533791446438, 'e': 0.27803730045319414}",20,9,15.376110414510833,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.8789739655455832, 'e': 0.27527078308975234}",35,26,8.25740934229082,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.8780954309205613, 'e': 0.2725317930340126}",30,23,13.030496388345517,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.8772177743910435, 'e': 0.26982005638468687}",20,0,24.474567098197458,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
132,False,"{'a': 0.8763409950793734, 'e': 0.2671353019658504}",25,0,-65.02419036888656,"{0: 21, 1: 0, 2: 1, 3: 2, 4: 1}",0
133,False,"{'a': 0.8754650921087711, 'e': 0.26447726129982396}",25,12,26.524649128655057,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.874590064603334, 'e': 0.261845668580326}",25,3,-34.549115293944276,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 1}",1
135,False,"{'a': 0.8737159116880344, 'e': 0.2592402606458915}",30,13,-17.237716679519018,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 0}",1
136,False,"{'a': 0.8728426324887193, 'e': 0.2566607769535559}",25,15,-36.199943331013216,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
137,False,"{'a': 0.8719702261321094, 'e': 0.25410695955280027}",25,17,12.906649318924424,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.8710986917457983, 'e': 0.2515785530597565}",20,5,27.105714088096317,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.8702280284582516, 'e': 0.2490753046316682}",30,10,-42.45731641516813,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",1
140,False,"{'a': 0.8693582353988059, 'e': 0.24659696394160646}",30,18,17.60890236241012,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.8684893116976679, 'e': 0.2441432831534371}",35,2,-13.17792328618844,"{0: 29, 1: 1, 2: 1, 3: 2, 4: 0}",1
142,False,"{'a': 0.867621256485914, 'e': 0.24171401689703648}",30,23,12.3812766071253,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.866754068895489, 'e': 0.23930892224375455}",20,11,-26.27829486282351,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
144,False,"{'a': 0.865887748059205, 'e': 0.2369277586821218}",20,10,10.67322215712402,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.8650222931107413, 'e': 0.23457028809379768}",25,11,20.796451409508638,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.8641577031846428, 'e': 0.23223627472975886}",20,0,-4.022519739105805,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
147,False,"{'a': 0.8632939774163194, 'e': 0.22992548518672387}",30,18,23.73866346932789,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.8624311149420455, 'e': 0.22763768838381276}",25,0,2.6995610276059403,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
149,False,"{'a': 0.8615691148989583, 'e': 0.22537265553943875}",20,0,-36.274283542838525,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
150,False,"{'a': 0.8607079764250578, 'e': 0.22313016014842985}",25,0,-1.319283794641688,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
151,False,"{'a': 0.8598476986592055, 'e': 0.22090997795937822}",25,17,5.65255546628055,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
152,False,"{'a': 0.8589882807411235, 'e': 0.21871188695221477}",30,0,-5.71020664370209,"{0: 25, 1: 2, 2: 3, 3: 0, 4: 0}",0
153,False,"{'a': 0.8581297218113938, 'e': 0.21653566731600707}",30,23,15.849793270410409,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.8572720210114575, 'e': 0.21438110142697797}",25,11,10.978553312872352,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
155,False,"{'a': 0.8564151774836135, 'e': 0.21224797382674307}",25,0,5.548042638229603,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
156,False,"{'a': 0.8555591903710185, 'e': 0.21013607120076475}",25,1,-23.630114218289865,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 1}",1
157,False,"{'a': 0.8547040588176851, 'e': 0.20804518235702046}",20,0,-18.361341030763413,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
158,False,"{'a': 0.8538497819684817, 'e': 0.20597509820488347}",20,0,6.210256438706505,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
159,False,"{'a': 0.8529963589691315, 'e': 0.20392561173421345}",30,8,-11.995742707964215,"{0: 19, 1: 0, 2: 2, 3: 1, 4: 0}",1
160,False,"{'a': 0.8521437889662113, 'e': 0.2018965179946554}",20,0,16.245087231267068,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
161,False,"{'a': 0.8512920711071511, 'e': 0.1998876140751445}",20,5,-1.1766265803350766,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
162,False,"{'a': 0.850441204540233, 'e': 0.19789869908361468}",20,3,-11.375324159452372,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
163,False,"{'a': 0.8495911884145902, 'e': 0.19592957412690934}",25,3,10.10739535898498,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 0}",1
164,False,"{'a': 0.8487420218802068, 'e': 0.19398004229089189}",20,0,-4.817005117935254,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
165,False,"{'a': 0.8478937040879159, 'e': 0.1920499086207541}",20,6,15.278357736190827,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
166,False,"{'a': 0.8470462341893996, 'e': 0.19013898010152053}",30,13,-15.030834075431198,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
167,False,"{'a': 0.8461996113371882, 'e': 0.1882470656387468}",20,10,16.874602651935163,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.8453538346846587, 'e': 0.18637397603941}",20,11,-31.57307038463837,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 1}",1
169,False,"{'a': 0.8445089033860343, 'e': 0.1845195239929893}",20,6,-0.4744790636542473,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
170,False,"{'a': 0.8436648165963837, 'e': 0.18268352405273466}",30,8,18.70339126960466,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
171,False,"{'a': 0.8428215734716199, 'e': 0.1808657926171221}",20,6,3.46279066699889,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
172,False,"{'a': 0.8419791731684999, 'e': 0.17906614791149325}",25,12,1.323238960265666,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
