trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
64,False,"{'a': 0.9380049995307295, 'e': 0.5272924240430485}",20,0,-29.04576230782942,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
65,False,"{'a': 0.9370674633774034, 'e': 0.522045776761016}",20,8,-1.6156808994753735,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
66,False,"{'a': 0.9361308642916188, 'e': 0.5168513344916993}",25,0,-8.762033371218351,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
67,False,"{'a': 0.9351952013367766, 'e': 0.5117085777865424}",35,0,-101.00147216540239,"{0: 28, 1: 1, 2: 3, 3: 1, 4: 2}",0
68,False,"{'a': 0.9342604735772135, 'e': 0.5066169923655897}",30,0,-71.65859670166563,"{0: 23, 1: 1, 2: 5, 3: 0, 4: 1}",0
69,False,"{'a': 0.933326680078202, 'e': 0.5015760690660556}",20,0,-134.9228556427178,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
70,False,"{'a': 0.9323938199059483, 'e': 0.4965853037914095}",25,2,-76.71565880724437,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 2}",1
71,False,"{'a': 0.9314618921275921, 'e': 0.49164419746096516}",20,3,-39.75452942477479,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
72,False,"{'a': 0.9305308958112057, 'e': 0.4867522559599717}",25,0,33.276383363061775,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
73,False,"{'a': 0.9296008300257927, 'e': 0.48190899009020244}",20,0,-9.69834961111348,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
74,False,"{'a': 0.9286716938412872, 'e': 0.47711391552103444}",20,13,-2.043602058697682,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
75,False,"{'a': 0.9277434863285529, 'e': 0.47236655274101474}",20,6,14.477685379000134,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.9268162065593822, 'e': 0.46766642700990924}",20,1,-31.09139921372368,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 1}",1
