Date,Open,High,Low,Adj Close,Volume,Prev Day OI,Prev Day Volume
2013-10-07,1659.5,1659.5,1654.25,1654.25,,967.0,1.0
2013-10-04,1655.25,1671.5,1654.75,1671.25,,967.0,29.0
2013-10-03,1659.0,1670.5,1650.5,1656.0,,962.0,0.0
2013-10-02,1669.75,1677.5,1660.75,1669.75,,964.0,203.0
2013-10-01,1665.0,1678.0,1663.0,1676.0,,764.0,5.0
2013-09-30,1663.75,1666.75,1654.5,1661.0,,766.0,7.0
2013-09-27,1670.0,1681.25,1667.5,1673.0,,765.0,1.0
2013-09-26,1673.0,1683.25,1673.0,1679.0,,765.0,335.0
2013-09-25,1675.75,1680.75,1671.75,1672.5,,498.0,64.0
2013-09-24,1675.5,1686.75,1675.0,1679.0,,455.0,75.0
2013-09-23,1689.0,1693.0,1677.25,1679.25,,476.0,7.0
2013-09-20,1698.75,1705.0,1688.75,1689.0,,451.0,5.0
2013-09-19,1706.5,1713.0,1700.75,1704.0,,444.0,23.0
2013-09-18,1685.75,1709.0,1681.25,1704.5,,440.0,7.0
2013-09-17,1675.5,1685.75,1675.5,1685.25,,443.0,10.0
2013-09-16,1685.0,1690.0,1678.25,1678.25,,441.0,8.0
2013-09-13,1665.0,1669.25,1661.5,1669.25,,441.0,6.0
2013-09-12,1667.75,1667.75,1662.25,1665.5,,442.0,4.0
2013-09-11,1661.75,1669.5,1658.75,1669.5,,442.0,2.0
2013-09-10,1657.0,1663.0,1657.0,1662.75,,438.0,2.0
2013-09-09,1642.0,1651.0,1642.0,1649.25,,436.0,12.0
2013-09-06,1640.5,1643.25,1619.75,1633.75,,436.0,0.0
2013-09-05,1633.0,1637.25,1631.25,1633.0,,436.0,11.0
2013-09-04,1632.0,1633.75,1616.75,1633.5,,435.0,3.0
2013-09-03,1619.25,1629.0,1619.25,1619.25,,432.0,2.0
2013-08-30,1611.5,1624.0,1607.25,1611.5,,432.0,0.0
2013-08-29,1617.0,1624.0,1609.0,1617.0,,432.0,1.0
2013-08-28,1612.25,1618.25,1607.5,1612.5,,432.0,0.0
2013-08-27,1608.25,1634.75,1607.25,1608.25,,432.0,15.0
2013-08-26,1643.75,1646.75,1634.25,1634.5,,428.0,1.0
2013-08-23,1638.0,1642.25,1634.25,1641.5,,427.0,0.0
2013-08-22,1635.0,1637.25,1635.0,1635.0,,427.0,0.0
2013-08-21,1616.5,1616.5,1616.5,1616.5,,427.0,1.0
2013-08-20,1625.0,1634.75,1625.0,1630.75,,426.0,4.0
2013-08-19,1630.0,1636.25,1623.75,1625.25,,426.0,28.0
2013-08-16,1640.0,1645.75,1631.0,1631.5,,429.0,4.0
2013-08-15,1646.0,1646.0,1636.25,1636.25,,429.0,0.0
2013-08-14,1662.5,1662.5,1662.5,1662.5,,429.0,0.0
2013-08-13,1671.25,1672.0,1664.75,1671.25,,429.0,0.0
2013-08-12,1667.5,1667.75,1660.0,1667.5,,429.0,2.0
2013-08-09,1668.5,1668.5,1663.75,1666.5,,428.0,1.0
2013-08-08,1668.5,1675.25,1666.0,1674.0,,427.0,0.0
2013-08-07,1668.5,1668.5,1663.75,1668.5,,427.0,0.0
2013-08-06,1674.25,1674.25,1670.25,1674.25,,427.0,0.0
2013-08-05,1683.0,1683.0,1681.0,1683.0,,427.0,4.0
2013-08-02,1684.5,1684.5,1684.5,1684.5,,427.0,4.0
2013-08-01,1680.0,1682.0,1677.0,1680.75,,430.0,207.0
2013-07-31,1668.25,1675.0,1661.0,1661.0,,223.0,0.0
2013-07-30,1665.25,1667.25,1658.75,1665.25,,223.0,0.0
2013-07-29,1663.0,1663.0,1663.0,1663.0,,223.0,2.0
2013-07-26,1661.75,1667.25,1657.25,1667.25,,223.0,1.0
2013-07-25,1662.25,1664.5,1658.5,1664.5,,223.0,4.0
2013-07-24,1671.0,1671.25,1664.0,1664.5,,223.0,3.0
2013-07-23,1674.25,1675.5,1669.0,1669.0,,220.0,3.0
2013-07-22,1671.0,1673.75,1667.0,1671.0,,221.0,0.0
2013-07-19,1670.0,1670.0,1670.0,1670.0,,221.0,2.0
2013-07-18,1652.5,1666.75,1652.5,1661.0,,220.0,161.0
