Date,Open,High,Low,Adj Close,Volume,Prev Day OI,Prev Day Volume
2013-11-22,1786.75,1796.5,1785.5,1794.5,,64631,5528
2013-11-22,1781.25,1790,1779,1788,,1787,51
2013-11-22,1781.25,1781.25,1781.25,1781.25,,235,5
2013-11-22,1774.5,1774.5,1774.5,1774.5,,111,0
2013-11-25,1795,1802.5,1792,1795.75,,72577,14569
2013-11-25,1789.25,1795.25,1785.5,1789,,1795,31
2013-11-25,1782.5,1787.5,1782.5,1782.5,,235,0
2013-11-25,1779,1779.5,1774.25,1775.5,,111,0
2013-11-26,1794.75,1800.25,1792.25,1795.5,,73854,3001
2013-11-26,1790.75,1793.5,1785.75,1788.75,,1800,64
2013-11-26,1782,1782,1782,1782,,235,0
2013-11-26,1775.25,1775.25,1775.25,1775.25,,120,56
2013-11-27,1795.25,1801,1794.5,1798,,81762,19451
2013-11-27,1789,1794,1788.25,1791,,1770,67
2013-11-27,1784.75,1784.75,1784.75,1784.75,,235,0
2013-11-27,1777.75,1777.75,1777.75,1777.75,,120,0
2013-11-29,1798.5,1805.75,1796.5,1797.75,,98042,24181
2013-11-29,1793.25,1799,1790,1791,,1986,543
2013-11-29,1785,1785.25,1784.5,1784.5,,683,510
2013-11-29,1777.5,1777.5,1777.5,1777.5,,120,0
2013-12-02,1799.5,1802.5,1790.75,1793.25,,105989,15717
2013-12-02,1793,1795.25,1784,1786.5,,2237,276
2013-12-02,1780,1780,1780,1780,,685,2
2013-12-02,1780,1780,1773.25,1773.25,,120,0
2013-12-03,1793.25,1795.25,1779.75,1785,,110954,13152
2013-12-03,1786,1788,1773.5,1778.25,,2200,304
2013-12-03,1771.75,1771.75,1768,1771.75,,685,0
2013-12-03,1767.5,1767.5,1760,1765,,125,5
2013-12-04,1785.5,1793,1771.5,1785.25,,136973,40196
2013-12-04,1778.25,1785.75,1765,1778.5,,2158,57
2013-12-04,1772,1778,1759.25,1772,,685,0
2013-12-04,1765.25,1766,1757.75,1765.25,,126,2
2013-12-05,1785.75,1788,1775.5,1777.5,,141038,21031
2013-12-05,1776.25,1780.75,1769.25,1770.75,,2182,84
2013-12-05,1764.25,1772.75,1763.5,1764.25,,685,0
2013-12-05,1758.25,1758.25,1757.5,1757.5,,126,0
2013-12-06,1777.5,1799.5,1777.5,1798.5,,159329,38445
2013-12-06,1772,1792.25,1771,1791.75,,2188,52
2013-12-06,1785.25,1785.25,1785.25,1785.25,,685,0
2013-12-06,1770.75,1778.5,1770.75,1778.5,,129,5
2013-12-09,1799.75,1805,1798.5,1802.75,,184545,66924
2013-12-09,1794.75,1797.75,1792,1795.75,,2222,279
2013-12-09,1790.75,1790.75,1789.5,1789.5,,685,0
2013-12-09,1782.5,1782.5,1782.5,1782.5,,129,2
2013-12-10,1802.75,1805.25,1794.75,1796.75,,221695,67905
2013-12-10,1797.5,1798.25,1788.25,1790,,2285,133
2013-12-10,1783.5,1791.25,1783,1783.5,,691,6
2013-12-10,1778.5,1779.5,1776.75,1776.75,,127,0
2013-12-11,1798,1801.5,1773.25,1774.5,,306095,130771
2013-12-11,1791.5,1794.5,1766.75,1767.75,,2275,132
2013-12-11,1772.5,1786.75,1761.5,1761.5,,691,0
2013-12-11,1771,1771,1754.5,1754.5,,128,2
2013-12-12,1774.25,1777.75,1765.5,1768.5,,563420,370512
2013-12-12,1768.75,1770.75,1759,1761.75,,2238,344
2013-12-12,1760,1763,1754,1755.25,,684,1
2013-12-12,1750,1750,1748.5,1748.5,,129,2
2013-12-13,1767,1776.75,1765.5,1768.5,,957167,833656
2013-12-13,1764,1769.5,1758.5,1761.5,,2328,652
2013-12-13,1755,1762.5,1754,1755,,685,5
2013-12-13,1748.75,1750.5,1748.25,1748.25,,130,1
2013-12-16,1768.5,1786.25,1754,1780.25,,1445598,1558496
2013-12-16,1763.5,1778.5,1747,1773.25,,2691,632
2013-12-16,1755.25,1771.5,1741.75,1767,,685,1
2013-12-16,1755.5,1762.25,1743.5,1760,,132,8
2013-12-17,1778.25,1782.5,1770.25,1773,,1895612,1793231
2013-12-17,1773,1775.5,1763.5,1766,,2684,181
2013-12-17,1759.75,1768.5,1757.75,1759.5,,687,9
2013-12-17,1760,1760.5,1751.5,1752.5,,137,16
2013-12-18,1772,1806.75,1760.75,1804.75,,2327433,1826251
2013-12-18,1766.75,1799,1754,1797.5,,2764,283
2013-12-18,1765,1792,1754.25,1790.75,,687,101
2013-12-18,1756.25,1783.75,1749,1783.75,,137,10
2013-12-19,1804,1806.75,1795,1802,,2580060,2702375
2013-12-19,1797.25,1799.25,1788,1795,,2980,839
2013-12-19,1788.75,1791.75,1782.25,1788.25,,690,6
2013-12-19,1780,1781.5,1775.75,1781.5,,129,21
2013-12-20,1802.5,1818,1802.5,1814.5,,2658894,1516505
2013-12-20,1796.5,1811,1796,1807.5,,3131,698
2013-12-20,1791,1803.25,1791,1800.75,,690,21
2013-12-20,1787.25,1793.75,1787.25,1793.75,,130,3
2013-12-23,1817,1824.5,1816.75,1822.75,,2720791,1356110
2013-12-23,1810,1817.5,1810,1816,,4010,1925
2013-12-23,1806.75,1810.25,1806.75,1809,,687,5
2013-12-23,1801,1802.25,1801,1802.25,,130,3
2013-12-24,1822.75,1829.5,1820.5,1829,,2734782,737153
2013-12-24,1814.25,1822.25,1813.75,1822.25,,4066,1036
2013-12-24,1808.75,1815.5,1808,1815.5,,687,1
2013-12-24,1808.5,1808.5,1808.5,1808.5,,130,1
2013-12-26,1830,1837.75,1829.75,1836.5,,2745200,314408
2013-12-26,1822.75,1831,1822.75,1829.75,,4111,314
2013-12-26,1819.75,1823.75,1819.75,1823,,691,8
2013-12-26,1816,1816,1816,1816,,130,0
2013-12-27,1836.5,1840,1833.25,1836.5,,2758851,438937
2013-12-27,1829.5,1833,1826.75,1829.75,,4063,373
2013-12-27,1821,1826,1820.5,1823.25,,701,13
2013-12-27,1816.25,1816.25,1816.25,1816.25,,130,0
2013-12-30,1836,1838.5,1833.5,1834.75,,2765187,622702
2013-12-30,1829.5,1831.5,1827,1828,,4052,618
2013-12-30,1824,1824.75,1820.75,1821.75,,702,3
2013-12-30,1814.25,1816.75,1814.25,1815,,130,0
2013-12-31,1835.5,1846.5,1834.25,1841,,2754443,581577
2013-12-31,1828.25,1839.75,1828,1834.5,,4956,2582
2013-12-31,1828.25,1833,1828.25,1828.25,,724,127
2013-12-31,1819.75,1826.25,1819.75,1821.5,,130,1
2014-01-02,1837.75,1840.75,1821.75,1826.5,,2782880,653055
2014-01-02,1833,1834,1815.25,1820,,5630,2450
2014-01-02,1815,1815,1809.5,1814,,724,1
2014-01-02,1811.75,1811.75,1804.25,1807,,130,6
2014-01-03,1827.25,1833,1820.5,1825.5,,2781562,1243227
2014-01-03,1821.25,1826.25,1814.25,1819,,9781,9231
2014-01-03,1810.5,1819.75,1808.5,1812.75,,770,277
2014-01-03,1806,1811.75,1802.5,1806,,132,7
2014-01-06,1824,1832.5,1817.25,1820.75,,2779107,961601
2014-01-06,1818,1825.75,1811,1814,,9985,1536
2014-01-06,1806.25,1819.25,1805.25,1808,,769,12
2014-01-06,1801,1806.75,1801,1801,,132,0
2014-01-07,1819.75,1834.75,1819.5,1830.75,,2766711,1369207
2014-01-07,1814,1828,1813.5,1824,,10508,2389
2014-01-07,1810.5,1821.75,1807.75,1818,,769,338
2014-01-07,1811,1813.5,1811,1811,,132,0
2014-01-08,1830.75,1834.75,1825.5,1832.5,,2775966,1162443
2014-01-08,1823.75,1828.25,1818.75,1826,,12110,4740
2014-01-08,1818.25,1821.75,1813.25,1820,,2154,1516
2014-01-08,1813,1813,1808.5,1813,,132,0
2014-01-09,1831.75,1839,1824.25,1833,,2781053,1330414
2014-01-09,1824.75,1832,1817.75,1826.5,,12196,2882
2014-01-09,1823.75,1826,1812,1820.5,,2152,5
2014-01-09,1813.5,1816.5,1806.75,1813.5,,132,0
2014-01-10,1833.25,1842.5,1826.25,1837.75,,2794685,1324605
2014-01-10,1826.75,1835.5,1820,1831,,12864,3055
2014-01-10,1827,1829.5,1814.25,1825,,2146,17
2014-01-10,1815.25,1818,1809.5,1818,,132,0
2014-01-13,1838.5,1838.75,1809.5,1815,,2818929,1455887
2014-01-13,1832,1832.75,1803.25,1808.5,,13519,3227
2014-01-13,1820,1825.5,1797.25,1802.5,,2466,370
2014-01-13,1800,1800,1791.75,1795.75,,136,10
2014-01-14,1815.75,1834.25,1812.75,1833,,2842950,1710408
2014-01-14,1809,1827.5,1806.25,1826.25,,13903,2637
2014-01-14,1801.75,1820.5,1800.5,1820.25,,2465,36
2014-01-14,1800,1813.5,1795.75,1813.5,,138,3
